Generation ID,Maximum Fitness,Minimum Fitness,Average Fitness,Champion Complexity,Maximum Complexity,Minimum Complexity,Average Complexity,Number of Species
70,63589,10645,37178,2249,3383,1627,2625,48
71,63589,9358,38053,2249,3404,1627,2624,50
72,65864,10068,36197,3259,3393,1627,2637,54
73,66944,10096,39035,2406,3612,1627,2652,51
74,66944,10386,38302,2406,3631,1627,2647,54
75,68505,9392,36717,2406,3611,1627,2648,53
76,67371,9835,37912,3259,3606,1747,2712,51
77,66944,9731,37800,2406,3620,1747,2713,51
78,67563,9661,39138,3259,3629,1747,2693,48
79,66944,7171,36457,2406,3663,1747,2708,51
80,66944,8522,36810,2406,3654,1747,2706,51
81,66944,10559,39196,2406,3665,1747,2716,53
82,66944,11592,37493,2406,3660,1747,2717,59
83,66944,9138,38776,2406,3652,1747,2716,59
84,67839,10069,38565,3259,3678,1747,2709,60
85,67295,8288,39310,3323,3643,1747,2703,58
86,70598,9227,39408,3305,3718,1747,2724,62
87,70598,8866,38164,3305,3701,1747,2784,61
88,70598,9620,36929,3305,4124,1747,2838,59
89,70598,9893,38929,3305,4092,1747,2840,62
90,70598,9372,40201,3305,4115,1747,2912,63
91,70598,8388,39225,3305,4567,1747,2969,59
92,70598,8871,38407,3305,4621,1747,2936,59
93,70677,12659,41127,2467,4624,1747,2935,58
94,70677,8321,39003,2467,4597,1747,2946,62
95,70677,10751,40903,2467,4588,1891,3051,60
96,70677,8937,40793,2467,4610,1891,3067,64
97,70677,10207,40031,2467,4599,1891,3039,60
98,70677,8159,38963,2467,4585,1891,3107,60
99,70677,7955,39341,2467,4605,1891,3107,60
100,70677,9968,42729,2467,4610,1891,3121,64
101,70677,8118,40483,2467,5200,1891,3171,64
102,70677,10523,40362,2467,5824,1891,3281,64
103,70677,10551,41831,2467,5826,1891,3280,64
104,70677,9703,41229,2467,5837,1891,3284,64
105,70677,8498,43474,2467,5810,1891,3284,64
106,70677,8790,41019,2467,5776,2068,3436,60
107,70677,8802,43535,2467,5813,2068,3436,60
108,70677,10349,42980,2467,5808,2068,3474,68
109,70677,11639,40510,2467,5834,2068,3597,64
110,74177,10659,41791,4045,6574,2068,3749,64
111,74177,10715,42508,4045,6550,2068,3773,68
112,74177,8427,43627,4045,6534,2068,3772,68
113,74177,14211,42247,4045,6536,2068,3773,68
114,74177,10809,43109,4045,6530,2068,3816,76
115,74177,11564,42371,4045,6570,2068,3795,72
116,74177,11383,40100,4045,6577,2068,3792,72
