Generation ID,Maximum Fitness,Minimum Fitness,Average Fitness,Champion Complexity,Maximum Complexity,Minimum Complexity,Average Complexity
459,13558,2066,8445,1527,2300,1150,1687
460,13558,1237,7840,1527,2286,1150,1685
461,13558,955,8232,1527,2289,1150,1687
462,13558,1937,8496,1527,2294,1150,1687
463,13558,1943,8142,1527,2278,1150,1686
464,13558,2390,8199,1527,2299,1150,1686
465,13558,2231,8431,1527,2279,1150,1685
466,13558,1035,7751,1527,2309,1150,1687
467,13558,1352,7948,1527,2307,1150,1687
468,13558,1537,7763,1527,2294,1150,1687
469,13558,1288,8521,1527,2335,1150,1685
470,13558,2009,7854,1527,2292,1150,1687
471,13558,2056,7739,1527,2303,1150,1684
472,13558,1035,8094,1527,2303,1150,1687
473,13558,1607,7629,1527,2293,1150,1686
474,13558,1154,8150,1527,2296,1150,1687
475,13558,1114,7544,1527,2304,1150,1687
476,13558,1424,8139,1527,2284,1150,1686
477,13558,1602,8376,1527,2285,1150,1687
478,13558,1032,7921,1527,2349,1150,1722
479,13558,1605,8423,1527,2289,1150,1707
480,13558,1417,8371,1527,2280,1150,1708
481,13558,2371,8057,1527,2318,1150,1721
482,13558,1775,7997,1527,2291,1150,1718
483,13558,1464,8079,1527,2314,1150,1737
484,13558,1417,7962,1527,2307,1150,1738
485,13558,1819,7997,1527,2307,1150,1735
486,13558,1753,8350,1527,2298,1150,1759
487,13558,1261,7973,1527,2308,1150,1759
488,13558,1829,8056,1527,2307,1150,1760
489,13558,1925,8305,1527,2316,1150,1758
490,13558,1275,8232,1527,2325,1150,1762
491,13558,1032,8136,1527,2327,1150,1769
492,13558,2011,8049,1527,2310,1150,1768
493,13558,1539,7824,1527,2306,1150,1768
494,13558,1743,7848,1527,2324,1150,1769
495,13558,945,7929,1527,2325,1150,1770
496,13558,2284,8413,1527,2316,1150,1768
497,13558,1123,8130,1527,2314,1150,1769
498,13558,1398,8158,1527,2323,1150,1769
499,13558,2220,8131,1527,2307,1150,1767
500,13558,1630,7894,1527,2318,1150,1764
501,13558,2314,8130,1527,2312,1150,1763
502,13558,1742,8213,1527,2308,1150,1762
503,13558,980,7853,1527,2300,1150,1741
504,13558,1786,7884,1527,2319,1150,1743
505,13558,2311,8522,1527,2317,1150,1746
506,13558,1032,8059,1527,2316,1150,1744
507,13558,1799,8086,1527,2319,1150,1744
508,13558,1095,7794,1527,2298,1150,1744
509,13558,1510,7610,1527,2305,1150,1745
510,13558,1736,8657,1527,2318,1150,1745
511,13558,1385,8514,1527,2313,1150,1745
512,13558,1336,8225,1527,2310,1150,1743
513,13558,1033,8066,1527,2312,1150,1744
514,13558,1749,8014,1527,2312,1150,1744
515,13558,2008,8211,1527,2322,1150,1750
516,13558,1504,8227,1527,2315,1150,1751
517,13558,1405,7569,1527,2317,1150,1766
518,13558,2008,8120,1527,2330,1150,1764
